,Name,Time/ms,F1 Score | Ecart,Precision,Recall
0,vect-sgd,0.5,"[0.88658, 0.00343]",0.777,0.778
1,vect-svm,93.38,"[0.78723, 0.00312]",22.238000000000003,22.929000000000002
2,vect-tfidf-sgd,0.43,"[0.88998, 0.00316]",0.7609999999999999,0.773
3,vect-tfidf-svm,48.62,"[0.86768, 0.02397]",11.863,8.183
4,vect-tfidf-logit,5.09,"[0.85391, 0.00548]",1.703,1.8330000000000002
5,vect-mult_nb,0.27,"[0.74534, 0.00501]",0.627,0.624
6,vect-compl_nb,0.28,"[0.87707, 0.00286]",0.72,0.718
7,vect-bern_nb,0.28,"[0.65522, 0.00809]",0.557,0.552
